,features,values
180,ENSG00000164889.8,9.44524
118,ENSG00000020577.9,9.437615
142,ENSG00000197704.7,9.436806
108,cg15775914,9.421518
192,hcmv-miR-UL70-3p,9.407586
175,hsa-miR-1180,9.386516
121,cg17237063,9.365956
140,hsa-miR-516a-3p,9.360151
99,hsa-miR-340,9.310066
81,cg12447832,9.287928
145,ENSG00000197256.6,9.197602
85,cg12864235,9.152314
172,hsa-miR-885-5p,9.054134
112,hsa-miR-377,9.01517
115,hsa-miR-381,8.9913025
88,cg13044136,8.959885
104,hsa-miR-362-5p,8.934917
162,hsa-miR-651,8.928126
181,hsa-miR-1275,8.922577
86,ENSG00000266903.1,8.882136
43,ENSG00000147459.12,8.84064
30,hsa-miR-93,8.834442
147,ENSG00000176105.9,8.739569
108,hsa-miR-374b,8.734175
143,hsa-miR-520e,8.709658
146,hsa-miR-539,8.7003355
196,cg27091787,8.685606
79,ENSG00000196415.4,8.623219
77,hsa-miR-195,8.588755
97,ENSG00000256193.1,8.551999
189,cg25736482,8.505311
120,ENSG00000233123.1,8.497118
177,cg24192663,8.465498
65,hsa-miR-152,8.393408
97,cg14613972,8.387483
74,ENSG00000188783.5,8.369772
116,ENSG00000084453.12,8.369064
55,cg07546360,8.362919
165,cg22518733,8.34814
60,cg08409225,8.345438
73,cg10942056,8.341456
62,hsa-miR-149,8.3226795
66,hsa-miR-153,8.310154
87,cg12981137,8.281267
165,hsa-miR-664,8.27128
113,cg16361890,8.237308
11,cg01182697,8.1600275
42,ENSG00000188549.8,8.106061
167,hsa-miR-767-5p,8.07094
134,ENSG00000228058.1,8.037801
80,ENSG00000198830.6,8.037255
44,ENSG00000188269.3,7.9836082
42,hsa-miR-126,7.962786
31,hsa-miR-95,7.9238133
177,hsa-miR-1246,7.9099126
144,hsa-miR-522,7.893731
26,hsa-miR-34a,7.8591585
140,cg19358493,7.8473687
74,cg10978355,7.748236
114,hsa-miR-379,7.7177744
92,ENSG00000154493.12,7.715543
40,ENSG00000171388.9,7.6927347
18,cg02654291,7.6705813
91,cg13468685,7.6692877
131,cg18149207,7.650294
22,ENSG00000072864.8,7.638555
35,ENSG00000105655.11,7.630201
197,kshv-miR-K12-4-5p,7.5783644
125,hsa-miR-452,7.5494146
146,cg19884658,7.52544
34,hsa-miR-99b,7.4159126
47,cg06690548,7.386636
59,hsa-miR-146a,7.3819866
137,ENSG00000125733.11,7.3711023
90,ENSG00000235501.1,7.335249
198,kshv-miR-K12-9,7.315193
142,hsa-miR-518e,7.2702575
160,ENSG00000166863.7,7.24366
98,hsa-miR-337-3p,7.174726
176,ENSG00000065809.8,7.148702
5,hsa-miR-1,7.102659
11,ENSG00000155980.6,7.100484
107,hsa-miR-374a,7.095692
175,cg24101578,7.0928855
14,hsa-miR-24,7.0870233
83,hsa-miR-203,7.0776415
134,cg18636641,7.025122
74,hsa-miR-192,7.021459
48,ENSG00000233404.2,6.9669495
58,hsa-miR-145,6.949916
172,ENSG00000106333.8,6.9385285
70,ENSG00000090554.6,6.9268994
171,ENSG00000125637.10,6.865401
40,hsa-miR-125a-5p,6.8204384
184,hsa-miR-1299,6.8126884
32,ENSG00000249436.1,6.787752
151,cg20692569,6.7855678
51,cg06946880,6.7800093
120,cg17233506,6.7222466
28,hsa-miR-34c-5p,6.707609
25,ENSG00000150760.8,6.691259
116,cg16708981,6.6469913
110,cg15789095,6.6375947
127,ENSG00000099194.4,6.630688
53,cg07232688,6.6252546
141,hsa-miR-517c_hsa-miR-519a,6.5980783
10,hsa-miR-15b,6.592767
184,ENSG00000102032.8,6.5411444
82,cg12556134,6.5310087
112,ENSG00000152689.13,6.4878383
119,hsa-miR-431,6.4593673
93,hsa-miR-301a,6.4227014
122,ENSG00000154864.7,6.4145665
103,cg15083233,6.413738
144,cg19601035,6.375447
24,ENSG00000178796.8,6.349692
149,ENSG00000117266.11,6.3075747
5,ENSG00000143409.11,6.2959647
20,hsa-miR-29c,6.285527
166,hsa-miR-744,6.263495
139,ENSG00000158865.8,6.2253947
102,cg15013019,6.223345
75,ENSG00000064961.14,6.196668
68,hsa-miR-181b_hsa-miR-181d,6.147764
49,cg06849477,6.144009
61,cg08418111,6.1323686
43,hsa-miR-127-3p,6.1137934
4,ENSG00000261195.1,6.0973897
115,cg16604516,6.075349
159,ENSG00000139629.10,6.0708394
84,cg12845808,6.064478
109,hsa-miR-375,6.011122
158,ENSG00000114541.10,5.9967875
17,cg02595219,5.946438
49,ENSG00000126803.8,5.945646
35,hsa-miR-100,5.906367
107,cg15626350,5.87687
12,cg01869233,5.817558
51,hsa-miR-135b,5.7963653
121,ENSG00000111087.5,5.790816
101,ENSG00000187984.7,5.755243
157,hsa-miR-595,5.7331896
33,cg04983977,5.7029824
95,cg14387505,5.6834326
127,hsa-miR-484,5.6804504
38,hsa-miR-107,5.6681347
44,hsa-miR-128,5.645636
96,cg14600885,5.6373267
176,cg24178740,5.6358123
1,cg00174500,5.5947676
63,hsa-miR-151-3p,5.5883217
53,ENSG00000166508.13,5.489788
195,hsv1-miR-H8,5.4182096
99,ENSG00000125534.4,5.348788
113,hsa-miR-378,5.342036
147,cg20028470,5.3147926
86,hsa-miR-216a,5.3141007
152,hsa-miR-563,5.313263
7,ENSG00000185499.11,5.307129
106,ENSG00000126822.11,5.273887
56,hsa-miR-142-5p,5.270056
4,hsa-let-7i,5.218042
127,cg17886959,5.180872
159,cg21838334,5.1674366
145,hsa-miR-525-5p,5.151212
109,cg15780361,5.1371403
54,hsa-miR-140-3p,5.120746
20,cg03258472,5.089289
162,cg22398616,5.0655913
178,cg24322623,5.058872
36,cg05232889,5.0368896
186,hsa-miR-1912,5.0070133
132,cg18182399,4.949448
21,ENSG00000140682.14,4.936808
63,cg08727202,4.933944
79,cg11761535,4.9240165
151,hsa-miR-551b,4.91671
169,cg22905097,4.8691955
188,cg25681177,4.8615637
164,ENSG00000196187.7,4.853144
177,ENSG00000248455.1,4.847142
21,hsa-miR-30b,4.8318887
111,cg15984661,4.820746
19,hsa-miR-29b,4.791509
48,cg06736444,4.764473
89,hsa-miR-221,4.732796
150,cg20483374,4.719659
179,hsa-miR-1260,4.701208
85,ENSG00000196154.7,4.6978636
140,ENSG00000088836.7,4.6865835
13,cg02008416,4.6690226
161,ENSG00000144057.11,4.651341
62,ENSG00000143157.7,4.628106
119,ENSG00000175287.14,4.595709
192,ENSG00000168209.3,4.5658774
138,ENSG00000165175.11,4.536363
68,ENSG00000115758.8,4.5304403
38,ENSG00000159176.9,4.510974
71,hsa-miR-187,4.4901466
12,hsa-miR-19b,4.472517
70,hsa-miR-186,4.465243
170,hsa-miR-770-5p,4.440324
52,ENSG00000267488.1,4.4365897
119,cg17071957,4.436434
189,ENSG00000166394.10,4.4304023
7,cg00777121,4.409666
157,cg21663431,4.409616
173,hsa-miR-891b,4.4072084
173,ENSG00000134294.9,4.4002376
181,cg24670715,4.328312
78,hsa-miR-196a,4.307303
156,hsa-miR-590-5p,4.2954307
97,hsa-miR-335,4.284268
9,cg00840516,4.2710395
83,ENSG00000170759.10,4.266817
195,ENSG00000157978.6,4.2641587
96,ENSG00000183963.13,4.254378
64,hsa-miR-151-5p,4.2474384
190,cg25771195,4.241811
171,cg23579062,4.2240934
142,cg19423311,4.213399
123,ENSG00000111961.12,4.1616187
15,cg02293044,4.133514
20,ENSG00000233487.6,4.1330266
92,cg13547644,4.1185174
104,ENSG00000071054.10,4.1025324
164,cg22472290,4.084288
114,cg16541031,4.0721807
199,cg27243140,4.0423923
15,hsa-miR-25,4.0105824
31,ENSG00000142173.10,3.9670658
130,ENSG00000135678.6,3.9458442
122,cg17253459,3.933454
100,hsa-miR-346,3.917819
131,hsa-miR-488,3.9108174
135,cg18676053,3.8911033
186,cg25277950,3.878419
112,cg16003238,3.8756704
109,ENSG00000183111.7,3.866799
34,cg05050341,3.8402655
129,ENSG00000145832.8,3.8381653
172,cg23616741,3.823904
69,cg09705062,3.8219519
84,ENSG00000126878.8,3.8195436
132,ENSG00000105227.9,3.7991
6,ENSG00000140931.15,3.7944589
167,ENSG00000100600.10,3.7819836
102,hsa-miR-361-5p,3.7808838
29,ENSG00000166535.15,3.7794838
146,ENSG00000183569.13,3.7750974
89,ENSG00000182851.2,3.7622144
147,hsa-miR-544,3.7455988
93,cg13795840,3.744848
182,ENSG00000148204.7,3.7409236
9,hsa-miR-15a,3.732188
61,hsa-miR-148b,3.7073212
153,ENSG00000116786.7,3.688442
186,ENSG00000260788.1,3.6775632
178,ENSG00000111328.2,3.674889
57,ENSG00000070214.10,3.6701787
136,cg18806980,3.668108
150,ENSG00000139352.3,3.6553829
108,ENSG00000021300.7,3.628533
63,ENSG00000157833.7,3.620658
168,hsa-miR-769-3p,3.5920901
124,hsa-miR-451,3.5814223
139,cg19264571,3.5655026
157,ENSG00000165821.7,3.559557
137,hsa-miR-500_hsa-miR-501-5p,3.5565758
96,hsa-miR-330-3p,3.5335324
104,cg15127733,3.493333
60,ENSG00000119729.6,3.483104
30,cg04428453,3.4725623
37,hsa-miR-106b,3.431428
162,ENSG00000198883.7,3.4231057
37,cg05261299,3.3856282
154,cg21062347,3.3573785
56,cg07654934,3.2891877
105,hsa-miR-369-3p,3.2779098
199,mcv-miR-M1-5p,3.2306848
31,cg04488758,3.2228389
154,ENSG00000165959.5,3.2196403
98,cg14792480,3.2152755
41,hsa-miR-125b,3.2151875
158,hsa-miR-598,3.0615945
91,hsa-miR-296-5p,3.0521467
170,cg23571857,3.0430543
28,cg03972838,3.0368807
79,hsa-miR-197,3.0357919
71,cg10468702,3.024001
26,ENSG00000042062.7,3.0088856
26,cg03870261,2.9744804
128,hsa-miR-485-3p,2.9421854
61,ENSG00000166682.6,2.9311464
47,ENSG00000170276.4,2.9210236
106,hsa-miR-370,2.903799
190,ENSG00000117115.8,2.8895495
180,cg24525573,2.8867645
132,hsa-miR-490-5p,2.8715746
100,ENSG00000134802.12,2.86819
52,hsa-miR-138,2.8626714
134,hsa-miR-495,2.8522635
152,ENSG00000166257.4,2.8474042
16,hsa-miR-26a,2.8320663
13,ENSG00000146966.8,2.829108
163,cg22442730,2.826325
141,cg19368582,2.8234603
88,hsa-miR-219-5p,2.7947323
125,cg17692403,2.79074
73,ENSG00000256235.1,2.789603
183,ENSG00000204366.3,2.759455
67,ENSG00000092820.13,2.7136648
65,ENSG00000174607.6,2.7023132
67,cg09382492,2.6885693
8,ENSG00000101265.10,2.6631238
183,hsa-miR-1297,2.6630914
78,cg11504740,2.6586535
39,cg05512756,2.6476722
15,ENSG00000244239.1,2.6451669
169,ENSG00000132688.10,2.644356
163,ENSG00000140479.12,2.6434004
102,ENSG00000196517.7,2.6408741
153,cg20870559,2.6384315
5,cg00745735,2.6290405
163,hsa-miR-656,2.6123354
13,hsa-miR-23b,2.5964253
161,cg22282672,2.5735922
135,hsa-miR-496,2.5702102
7,hsa-miR-10a,2.5510435
156,cg21643191,2.5443716
101,hsa-miR-361-3p,2.540963
17,ENSG00000151552.7,2.5388105
117,cg16869108,2.525905
29,hsa-miR-92a,2.522261
148,ENSG00000100139.9,2.5152996
148,cg20217872,2.500504
21,cg03389133,2.4982944
66,ENSG00000251372.1,2.4930854
196,ENSG00000138207.7,2.486904
50,ENSG00000112851.10,2.4816334
59,ENSG00000230387.1,2.4731097
35,cg05164634,2.443407
70,cg10157098,2.43819
39,hsa-miR-122,2.434867
185,ENSG00000118515.7,2.424502
54,cg07412254,2.4189394
197,cg27120999,2.399726
181,ENSG00000121966.6,2.3960576
194,hsv1-miR-H3,2.3811283
8,cg00830029,2.3783886
170,ENSG00000091513.10,2.37791
76,cg11136562,2.35662
2,hsa-let-7f,2.3513896
52,cg07197059,2.3508494
111,hsa-miR-376c,2.3352468
23,hsa-miR-30e,2.330469
95,hsa-miR-324-5p,2.318558
193,cg26143719,2.3181422
77,cg11469778,2.3078144
197,ENSG00000236609.3,2.2916286
168,ENSG00000113721.8,2.2865388
34,ENSG00000165406.9,2.256751
130,cg18119407,2.255285
179,ENSG00000180891.8,2.2516997
110,hsa-miR-376a,2.2294245
90,cg13288195,2.2223575
80,cg12120741,2.2029178
198,ENSG00000136451.4,2.1620758
72,ENSG00000227544.2,2.1445503
94,cg14072120,2.1372821
76,ENSG00000135414.5,2.128804
115,ENSG00000108784.5,2.1258502
12,ENSG00000111181.8,2.1255696
51,ENSG00000119950.15,2.1208558
11,hsa-miR-16,2.0877564
105,ENSG00000088881.14,2.056298
93,ENSG00000166387.7,2.047197
17,hsa-miR-27a,2.0443103
136,ENSG00000100906.6,2.0268223
53,hsa-miR-139-5p,2.0172117
32,cg04527918,2.0043943
187,ENSG00000177807.5,2.0041244
191,cg25946389,1.9920882
64,cg08775230,1.9614632
37,ENSG00000086159.8,1.931147
149,cg20300246,1.9202689
111,ENSG00000178752.11,1.9181604
19,ENSG00000172935.8,1.9047542
92,hsa-miR-299-5p,1.902644
194,ENSG00000186635.10,1.8997636
187,cg25414165,1.8885165
66,cg09152089,1.8850963
105,cg15517609,1.8716716
18,hsa-miR-29a,1.8688904
169,hsa-miR-769-5p,1.8600594
77,ENSG00000197892.8,1.8512679
67,hsa-miR-155,1.8492006
101,cg14851685,1.8276873
194,cg26984805,1.8245351
155,hsa-miR-582-5p,1.8083115
129,cg18059933,1.7985537
130,hsa-miR-487b,1.7791317
113,ENSG00000132832.4,1.7773347
1,hsa-let-7e,1.7567154
189,ebv-miR-BART6-5p,1.7451426
174,ENSG00000165458.8,1.7447836
38,cg05382123,1.7414643
23,cg03453449,1.7408967
55,ENSG00000171476.16,1.7396828
195,cg27016307,1.7375785
185,cg24910675,1.7134237
153,hsa-miR-574-3p,1.7095519
76,hsa-miR-194,1.7065402
166,cg22534509,1.7029253
121,hsa-miR-433,1.7002746
173,cg23674882,1.6996375
43,cg05973262,1.6952125
166,ENSG00000143772.5,1.6763402
58,ENSG00000154945.6,1.6740274
42,cg05807444,1.6643838
106,cg15537850,1.6641924
41,cg05697249,1.6563959
184,cg24901042,1.6477708
174,cg23713520,1.6447477
183,cg24877842,1.6374694
50,cg06933965,1.6302985
25,cg03762535,1.6191766
158,cg21671476,1.6156641
138,cg19138960,1.5907754
144,ENSG00000166912.12,1.5857849
69,ENSG00000182902.8,1.5844151
198,cg27146152,1.5818726
57,cg07730301,1.5812774
182,hsa-miR-1283,1.5731748
145,cg19832721,1.5622557
19,cg02932167,1.5577875
151,ENSG00000080573.6,1.5564235
125,ENSG00000057704.6,1.5516608
62,cg08578641,1.5324894
39,ENSG00000165912.11,1.5286728
87,hsa-miR-219-2-3p,1.5251654
155,ENSG00000136541.10,1.5175698
136,hsa-miR-497,1.5105468
141,ENSG00000129250.7,1.5069772
73,hsa-miR-190b,1.499531
22,hsa-miR-30d,1.4934014
3,cg00597076,1.4915675
33,hsa-miR-99a,1.4851054
159,hsa-miR-603,1.4834735
44,cg06220958,1.4780222
9,ENSG00000153048.6,1.4619321
18,ENSG00000051128.13,1.4554175
0,hsa-let-7b,1.4531851
24,cg03670238,1.4233052
14,ENSG00000164050.8,1.3844619
128,ENSG00000124126.9,1.3843172
68,cg09656934,1.3801788
6,hsa-miR-9,1.3743645
192,cg25947945,1.3663851
71,ENSG00000147488.7,1.3608946
3,hsa-let-7g,1.3496091
126,cg17826679,1.3428205
30,ENSG00000119403.9,1.3364058
45,cg06258834,1.3341569
165,ENSG00000103089.4,1.32944
16,cg02489552,1.3267065
179,cg24362726,1.3130023
14,cg02085507,1.3067489
56,ENSG00000128271.12,1.2966806
87,ENSG00000164850.10,1.282269
167,cg22585988,1.280239
3,ENSG00000006831.9,1.2788072
143,ENSG00000257499.1,1.2714003
75,hsa-miR-193b,1.249119
72,cg10923408,1.2475209
88,ENSG00000160285.9,1.2311512
99,cg14837165,1.2129141
160,cg22224704,1.2065331
137,cg19125606,1.186743
55,hsa-miR-142-3p,1.1835984
155,cg21301148,1.179622
110,ENSG00000184481.11,1.1577082
176,hsa-miR-1206,1.1527293
0,cg00095526,1.1414336
36,ENSG00000183773.10,1.1316382
94,ENSG00000260001.1,1.0698358
118,cg16990174,1.0696572
33,ENSG00000065361.8,1.0428927
78,ENSG00000177469.12,0.9440578
40,cg05668853,0.90512604
89,cg13236107,0.8683007
75,cg11052143,0.83126944
